Short Name,ScoreComposite
Bahrain,1.0
Finland,1.0
United States,1.0
Singapore,1.0
Netherlands,0.9812030075187969
Korea,0.942857142857143
Ireland,0.8857142857142858
United Arab Emirates,0.8799999999999999
Oman,0.8799999999999999
Mexico,0.7781954887218043
Malaysia,0.6857142857142857
Mauritania,0.6799999999999998
Ghana,0.6799999999999998
Dem. Rep. Congo,0.6799999999999998
Zambia,0.64
China,0.6285714285714287
Brunei,0.5999999999999999
Thailand,0.5845864661654135
Armenia,0.5828571428571427
Lebanon,0.56
Romania,0.5555555555555556
Turkey,0.5428571428571429
Fiji,0.537037037037037
Nepal,0.5199999999999999
Syrian Arab Republic,0.5199999999999999
Serbia,0.5199999999999999
Grenada,0.5142857142857143
Papua New Guinea,0.5019514302998876
Kazakhstan,0.4940057039149597
Morocco,0.48877192982456136
Tunisia,0.48857142857142855
Kuwait,0.4800000000000001
Ukraine,0.46296296296296297
Libya,0.43999999999999995
Samoa,0.43567193846685676
Uganda,0.42285714285714276
Egypt,0.41714285714285715
Mozambique,0.40000000000000013
Jordan,0.3906213810388039
West Bank and Gaza,0.38
Macedonia,0.3714285714285715
Bulgaria,0.3627430645579467
Sudan,0.36
Yemen,0.3551067323481117
Vietnam,0.3514285714285714
Georgia,0.34285714285714286
Solomon Islands,0.3289154399408482
Tanzania,0.31428571428571433
Lao PDR,0.30801140782991954
Afghanistan,0.29629629629629634
Sri Lanka,0.2714285714285715
Timor-Leste,0.2571428571428572
Pakistan,0.24000000000000005
Tajikistan,0.23296296296296298
Chad,0.22857142857142862
Ethiopia,0.20000000000000007
St. Lucia,0.19999999999999998
Moldova,0.17142857142857143
Kyrgyz Republic,0.16
Burkina Faso,0.07330827067669171
Senegal,0.06766917293233084
Iraq,0.06000000000000004
Suriname,0.018518518518518507
Angola,0.0
Albania,
Benin,
Bangladesh,
Belize,
Côte d'Ivoire,
Congo,
Colombia,
Djibouti,
Guinea,
The Gambia,
Guinea-Bissau,
Guyana,
Indonesia,
Jamaica,
Kenya,
Cambodia,
Kiribati,
Liberia,
Madagascar,
Mali,
Mauritius,
Malawi,
Namibia,
Nigeria,
Paraguay,
Russia,
Sierra Leone,
Swaziland,
Seychelles,
Togo,
Tonga,
Tuvalu,
Vanuatu,
